,Recorded,Model+Gate
T_min,145.65000000000003,145.65000000000003
N_HO,217.0,195.0
N_pp,64.0,52.0
N_RLF,170.0,165.0
N_RLF_sec,330.0,319.0
N_sec,8410.0,8410.0
N_HO_gen,153.0,143.0
HOP,1.489872983178853,1.3388259526261583
HOPP,0.29493087557603687,0.26666666666666666
RLF,0.783410138248848,0.8461538461538461
RLF_persec,0.039239001189060645,0.03793103448275862
Rbar,17.53258049940547,17.769378715814504
